method,path,operation_id,msc1_capability,permission_category,agent_status,desktop_web_status,ios_status,cli_status,notes,tui_status
GET,/v1/connectivity,,"Reachability summary: join address, method, playit/broadcast status",none,Implemented,Implemented,Planned,Implemented,P11.14: administration screens; P13.4: TUI connection information distinguishes local/public/hidden,Implemented
WS,/v1/console/stream,,console channel,none,Implemented,Planned,Implemented,Planned,"P11 cleanup: the reconnecting client foundation is present; P13.5 consumes the authenticated stream with bounded recovery",Implemented
WS,/v1/notifications/stream,,Server/player and helper/connectivity notification feed,none,Implemented,Planned,Planned,Planned,P13.6: TUI consumes the authenticated bounded notification stream; lifecycle producers publish server start/stop events through the same agent-owned channel,Implemented
GET,/v1/console/tail,,"Last N console lines (query param n, default 200, clamped 1-2000)",none,Implemented,Implemented,Implemented,Implemented,cli: `msc console tail`; P10.6: Bedrock console-to-log mirroring uses this shared bounded log surface; P11.10: live server screens; P13.4: TUI overview console dock reads bounded tail,Implemented
GET,/v1/duckdns,,Get the configured DuckDNS hostname,none,Implemented,Implemented,Planned,Implemented,P11.14: administration screens; P13.11: TUI connection surface,Implemented
POST,/v1/duckdns,,Update the DuckDNS hostname,settings,Implemented,Implemented,Planned,Implemented,P11.14: administration screens; P13.11: TUI confirmed hostname update,Implemented
GET,/v1/files,,Browse the active server's directory (admin-only; query param path). 409 reuses the same shape with note=no_active_server.,admin,Implemented,Implemented,Planned,Planned,"P12.9: found frozen-since-Phase-11 but never implemented (no route, no domain/application logic at all -- same shape as P12.3's Players-tab gap); built crates/msc-application/src/server_files.rs + crates/msc-agent/src/routes/files.rs, a straight port of wireSkinAndFileProviders' filesProvider (AppViewModel+APIWiringContent.swift:170-226), then the Files tab screen against it; P13.12: TUI uses the same scoped route for its read-only Server Root browser",Implemented
GET,/v1/files/read,,"Read a previewable file's contents (admin-only; query param path, required)",admin,Implemented,Implemented,Planned,Planned,"P12.9: same gap and fix as GET /v1/files above -- ports fileReadProvider (AppViewModel+APIWiringContent.swift:228-275), including its 512 KiB cap and UTF-8-then-Latin-1 decode fallback; P13.12: TUI opens the bounded preview and reports the agent-relative path",Implemented
GET,/v1/health,,Diagnostic health cards for the active server,none,Implemented,Implemented,Implemented,Implemented,"P7.24 replaced the Phase 2 demo-card with real cards; P7.26 found and fixed a severity-string mismatch (this route emitted ok/warning/critical/unknown, but HealthView.swift.severityColor(_:) switches on literal green/yellow/red/gray -- every card silently rendered in the neutral fallback color until fixed); P11.14: administration screens; P13.4: TUI overview health summary",Implemented
GET,/v1/health/problems,,"Startup problems detected for the active server (missing deps, incompatible versions, ...)",none,Implemented,Implemented,Implemented,Implemented,"P7.24: reads msc_application::diagnostics's last_startup_result.json disk record. P7.32 wired diagnose_unexpected_stop into the real LifecycleService stop path; P7.36 wired scan_paper_soft_failures into the real ready path and fed both real installed-mod/plugin inventories (add_on_inventory::scan_mods/scan_plugins), so installed_jar_stem attribution (and the disable/delete repair actions it gates) is now real, not always empty; P11.14: administration screens; P13.11: TUI health detail",Implemented
POST,/v1/health/repair,,Trigger a repair action for a diagnosed startup problem,settings,Implemented,Implemented,Implemented,Implemented,P8.9: action=update|install now return 202+operationId in the contract (phase8-api.md SS2); P8.23 built those repair paths; P8.25/P8.26 now poll operationId in CLI and iOS while disable/delete remain synchronous; P11.14: administration screens; P13.11: TUI repair confirmation,Implemented
GET,/v1/guides/onboarding,,Read the structured first-launch guide,none,Implemented,Implemented,Planned,Planned,"P11.24: agent-served content; anchors and animation remain client-owned; P12.19d: reset recovery resumes it without server creation",Planned
GET,/v1/guides/router-catalog,,List router guides and troubleshooting topics,none,Implemented,Implemented,Planned,Planned,P11.24: structured router-guide catalog,Planned
GET,/v1/help/catalog,,List available educational content topics,none,Implemented,Implemented,Planned,Planned,P11.24: agent-owned catalog and client-owned presentation; P12.29: world-settings Handbook parity topics are part of the release gate,Planned
GET,/v1/help/{helpId},,Resolve an educational content topic,none,Implemented,Implemented,Planned,Planned,"P11.24: raw Markdown served by the agent; unknown topics return ErrorDTO; P12.29: world ownership, gamemode safety, capability limits, and mod handoff are explained in served content",Planned
GET,/v1/java-runtimes,,Java runtimes detected on this host,none,Implemented,Implemented,Implemented,Implemented,iOS: DashboardView.swift's create-server flow already wired against RemoteAPIClient.getJavaRuntimes; no shape mismatch found; P11.9: fleet and lifecycle screens; P13.10: TUI Java detect/version action,Implemented
POST,/v1/java-runtimes/install,installJavaRuntime,"Install a Java runtime the agent manages itself (Adoptium archive, checksum-verified, unpacked under MSC's own runtimes directory)",settings,Implemented,Implemented,Planned,Implemented,"new route, D-006 addendum P7.1/P7.9 -- no MSC 1 equivalent (phase7-api.md SS3); iOS has no screen for this at all yet (nothing existing to point at the real agent) -- CLI (msc java install) is the only P7.25/26 client surface; P11.9: fleet and lifecycle screens",Planned
GET,/v1/me,,The calling token's own role and permissions,none,Implemented,Implemented,Implemented,Planned,P11 cleanup: shared shell loads token permissions before filtering navigation; iOS's DashboardViewModel already called getMe() before this route existed on the agent — found live pairing against a real P7 agent during the deferred iOS walkthrough; wired the agent route to match.,Planned
POST,/v1/modpacks/inspect,inspectModpack,Inspect a staged .mrpack/CurseForge archive without mutating any server,none,Implemented,Implemented,Planned,Implemented,"new route, D-027/pack-create boundary -- no MSC 1 route (phase8-api.md SS3); peeks a modpack-archive staged upload without redeeming it; P11.13: add-on and modpack screens; P13.9: TUI bounded inspection",Implemented
POST,/v1/modpacks/import,importModpack,"Import a staged pack into the active server, or explicitly replace an already pack-managed server's pack",addons,Implemented,Implemented,Planned,Implemented,"new route (phase8-api.md SS3); async, operationId always populated; action=import|replace required, refused as pack_managed conflict if mismatched against server state; P11.13: add-on and modpack screens; P13.9: TUI import/replace",Implemented
POST,/v1/modpacks/{operationId}/manual-file,completeModpackManualFile,Complete one pending author-blocked CurseForge file for a running modpack-import operation (D-027),addons,Implemented,Implemented,Planned,Implemented,"new route, D-027 option 1 (msc2-decisions.md) -- client-side download + bounded staged-upload replaces MSC 1's local Downloads-folder watch (phase8-api.md SS3); P11.13: add-on and modpack screens; P13.9: manual files remain activity/API state",Implemented
POST,/v1/operations,,Create a long-running operation,serverControl,Implemented,Planned,Planned,Planned,,Planned
GET,/v1/operations/{id},,Read an operation's current state,none,Implemented,Implemented,Implemented,Implemented,"iOS and CLI poll durable world, backup, conversion, and import operations; P11.10: live server screens",Planned
POST,/v1/operations/{id}/cancel,,Request cancellation of an operation,serverControl,Implemented,Implemented,Implemented,Implemented,iOS conversion UI and CLI polling request cooperative cancellation; P11.10: live server screens,Planned
WS,/v1/operations/{id}/stream,,operation-progress channel,none,Implemented,Planned,Planned,Planned,"P13.6: TUI tracks returned operation IDs, resyncs with HTTP through the shared transport after reconnect, and treats terminal close as normal",Implemented
GET,/v1/performance,,"Latest performance snapshot (TPS, players, CPU, RAM, world size)",none,Implemented,Implemented,Implemented,Planned,P10.6: shared metric DTO; native process stats and sidecar [MSCSTATS] stay backend-private; P11.10: live server screens; P13.4: TUI overview live-stats summary,Implemented
GET,/v1/players,,List currently-online players,none,Planned,Implemented,Implemented,Planned,P10.6: shared player route; Bedrock XUIDs and runtime state are additive. P10.22: iOS presents the online roster and handles optional UUID/XUID data; profile presentation remains deferred; P11.11: online player roster; P13.7: TUI presents names and Java/Bedrock identity text,Implemented
POST,/v1/players/hidden,,Hide or unhide a player profile,players,Implemented,Implemented,Planned,Planned,P12.3: Desktop/Web Player Data detail sheet owns hidden-profile state; P13.7: TUI uses the shared confirmation and permission boundary,Implemented
GET,/v1/players/profiles,,List all-time player profiles with stats,none,Implemented,Implemented,Planned,Planned,P12.3: Desktop/Web Player Data reads agent-backed profiles; P13.7: TUI supports search/sort/detail,Implemented
POST,/v1/players/skin-override,,Set or clear a manual skin lookup override for a player,players,Implemented,Implemented,Planned,Planned,P12.3: Desktop/Web Player Data detail sheet owns the lookup override; P13.7: TUI sends the existing text-based override action,Implemented
GET,/v1/players/{profileId}/skin,,"A player's skin image (base64), by profile id. Handled outside the main route switch via a path.hasPrefix/hasSuffix match, not a `case` in it -- the one MSC 1 route with a path parameter.",none,Planned,Planned,Planned,Planned,"P10.22: intentionally unavailable on iOS in this step; skin presentation remains deferred to later client work",Planned
GET,/v1/playit,,Get Playit tunnel status,none,Implemented,Implemented,Planned,Implemented,P11.14: administration screens; P13.10: TUI Server Editor service state,Implemented
POST,/v1/playit/start,,Start the Playit tunnel,networking,Implemented,Implemented,Planned,Implemented,P11.14: administration screens; P13.10: TUI Server Editor action,Implemented
POST,/v1/playit/stop,,Stop the Playit tunnel,networking,Implemented,Implemented,Planned,Implemented,P11.14: administration screens; P13.10: TUI Server Editor action,Implemented
GET,/v1/resourcepacks,,List resource packs,none,Implemented,Implemented,Planned,Implemented,P11.14: administration screens; P13.9: TUI resource-pack state,Implemented
POST,/v1/resourcepacks/activate,,Activate (or clear) the local Java resource pack,addons,Implemented,Planned,Planned,Implemented,P13.9: TUI activate and clear actions,Implemented
POST,/v1/resourcepacks/remove,,Remove a resource pack from disk,addons,Implemented,Planned,Planned,Implemented,P13.9: TUI remove action,Implemented
POST,/v1/resourcepacks/seturl,,Set a custom resource-pack URL directly in server.properties,addons,Implemented,Planned,Planned,Planned,P13.9: TUI URL action,Implemented
POST,/v1/resourcepacks/toggle,,Enable/disable a Geyser resource pack,addons,Implemented,Implemented,Planned,Planned,P11.14: administration screens,Planned
GET,/v1/servers,,List all registered servers,none,Implemented,Implemented,Implemented,Implemented,P11.9: fleet and lifecycle screens; P13.4: TUI selected-server identity and keyboard selection,Implemented
POST,/v1/servers/create,createServer,Create a new server,fleet,Implemented,Implemented,Implemented,Implemented,"P7.9: async correction, operationId now actually used (phase7-api.md SS2); Bedrock refused with capability_unavailable; P7.26 found and fixed iOS's ServerCreateResultDTO missing operationId entirely -- DashboardViewModel.createFreshServer treated the immediate 200 as final and refreshed the server list before creation had actually finished. P8.9: stagedModpackUploadId added (phase8-api.md SS4); P8.21 consumes it for pack-driven create, and P8.25 adds CLI --modpack staging on top; P11.9: fleet and lifecycle screens; P13.10: staged TUI create flow",Implemented
POST,/v1/servers/delete,,Delete a server,fleet,Implemented,Implemented,Implemented,Implemented,"iOS: DashboardView.swift already wired against RemoteAPIClient.deleteServer; synchronous, no operationId in the frozen contract; P11.9: fleet and lifecycle screens; P13.10: shared-confirmation delete",Implemented
POST,/v1/servers/eula,,Accept the Minecraft EULA for a server,fleet,Implemented,Implemented,Implemented,Implemented,iOS: DashboardView.swift already wired against RemoteAPIClient.acceptServerEULA; no shape mismatch found; P11.9: fleet and lifecycle screens; P13.10: Manage Servers EULA action,Implemented
POST,/v1/servers/import,,"Scan, import, or rescan existing servers",fleet,Implemented,Implemented,Implemented,Implemented,P6.46: copied iOS follows accepted raw/ZIP and transfer imports to their durable terminal result; P11.9: fleet and lifecycle screens; P13.10: staged TUI import flow,Implemented
POST,/v1/servers/rename,,Rename a server,fleet,Implemented,Implemented,Implemented,Implemented,iOS: DashboardView.swift already wired against RemoteAPIClient.renameServer; no shape mismatch found; P11.9: fleet and lifecycle screens; P13.10: Manage Servers and editor,Implemented
GET,/v1/session-log,,Join/leave event history for the active server,none,Implemented,Implemented,Planned,Planned,P12.3: Java Players screen reads the agent-backed session log; Bedrock retains its console-tail fallback; P13.7: TUI keeps filtering and the session summary,Implemented
GET,/v1/settings,,"Typed server.properties schema for the active server, as sections of fields",none,Implemented,Implemented,Implemented,Implemented,"P10.6: same settings route covers Bedrock server.properties; raw unknown-key preservation stays below the API validation layer. P10.22: iOS renders schema fields, helpId topics, and runtime state; P11.14: administration screens; P12.29: server-only settings and the separate force-gamemode policy are documented; P13.10: TUI port editor reads the schema",Implemented
POST,/v1/settings,,"Apply a sparse set of settings changes (key -> string value), validated and clamped per field",settings,Implemented,Implemented,Implemented,Implemented,"P10.6: Bedrock settings use additive runtime state and retain the shared validation/error envelope. P10.22: iOS preserves the echoed sections and runtime state; P11.14: administration screens; P12.29: server-scope confirmation remains separate from world-profile safety; P13.10: TUI port editor",Implemented
GET,/v1/staged-downloads/{id},downloadStagedBytes,Download bytes from a previously prepared staged export,worlds,Implemented,Implemented,Implemented,Planned,"bounded staging, not an arbitrary remote path (phase6-api.md SS4); P11.12: world and backup screens; P13.8: TUI writes staged export to a chosen local ZIP",Implemented
POST,/v1/staged-uploads,beginStagedUpload,Begin a bounded staged upload,none,Implemented,Implemented,Implemented,Planned,"bounded staging, not an arbitrary remote path (phase6-api.md SS4). P8.9 correction: x-permission-category worlds -> none, three new purposes added (phase8-api.md SS5) -- the real route still enforces worlds until P8.13/P8.14/P8.20 update it.; P11.12: world and backup screens; P13.8: TUI begins bounded world-import staging",Implemented
PUT,/v1/staged-uploads/{id},uploadStagedBytes,Upload bytes into a previously begun staging slot,none,Implemented,Implemented,Implemented,Planned,"bounded staging, not an arbitrary remote path (phase6-api.md SS4). P8.9 correction: x-permission-category worlds -> none (phase8-api.md SS5) -- the real route still enforces worlds until P8.13/P8.14/P8.20 update it.; P11.12: world and backup screens; P13.8: TUI uploads bounded world-import bytes",Implemented
POST,/v1/start,,Start the active server,serverControl,Implemented,Implemented,Implemented,Implemented,P10.6: shared lifecycle route selects native BDS or Intel-macOS sidecar from reconciled runtime state; P11.9: fleet and lifecycle screens; P13.4: TUI lifecycle control,Implemented
GET,/v1/status,,"Current run status (active server, pid, running state)",none,Implemented,Implemented,Implemented,Implemented,P10.6: additive Bedrock runtime state distinguishes imported/configured from runnable; P11.9: fleet and lifecycle screens; P13.4: TUI header and identity state,Implemented
POST,/v1/stop,,Stop the active server,serverControl,Implemented,Implemented,Implemented,Implemented,P10.6: shared graceful-then-forced stop semantics; sidecar details stay private; P11.9: fleet and lifecycle screens; P13.4: TUI lifecycle control,Implemented
GET,/v1/templates,,List available Paper/plugin templates,none,Implemented,Implemented,Planned,Implemented,iOS has no Templates screen at all yet (not one of the copied MSC 1 screens this phase's own scope names) -- CLI (msc template list/export/create) is the only P7.25/26 client surface; P11.9: fleet and lifecycle screens,Planned
POST,/v1/templates,,"Export the active server as a template, or create a server from one",fleet,Implemented,Planned,Planned,Implemented,"iOS has no Templates screen at all yet -- see GET /v1/templates' own note",Planned
GET,/v1/users,,List named-access users,admin,Implemented,Implemented,Planned,Planned,P9.12 route mounted; admin-only durable registry read; P11.14: administration screens; P13.11: TUI admin access list,Implemented
POST,/v1/users,,Create a named-access user,admin,Implemented,Implemented,Planned,Planned,P9.12 route mounted; raw token is returned only on this one-time create response; TUI intentionally does not echo or persist one-time tokens,Planned
POST,/v1/users/revoke,,Revoke a named-access user,admin,Implemented,Implemented,Planned,Planned,P9.12 route mounted; revocation is durable and restart-safe; P13.11: TUI admin access flow,Implemented
POST,/v1/users/update,,Update a named-access user's label/role/permissions/expiry,admin,Implemented,Implemented,Planned,Planned,P9.12 route mounted; raw bearer is never returned; TUI does not expose an unimplemented edit form,Planned
GET,/v1/versions,,Available server JAR versions for the active server's flavor,none,Implemented,Implemented,Implemented,Implemented,"P12.28: the active version/flavor is the input to the next capabilities request; iOS: ServerVersionView.swift already wired against RemoteAPIClient.getVersions; P10.6: Bedrock uses verified BDS manifest provenance through this shared route; P11.9: fleet and lifecycle screens",Planned
GET,/v1/versions/create,,"Available versions for the create-server flow (query params serverType, javaFlavor)",none,Implemented,Implemented,Implemented,Implemented,P12.18: Desktop/Web create-server wizard reads the flavor-aware version picker; P12.28: selected version-entry context feeds world-settings capability evaluation,Planned
POST,/v1/watchdog/disable,,Disable the watchdog,settings,Planned,Planned,Planned,Planned,,Planned
POST,/v1/watchdog/enable,,Enable the watchdog,settings,Planned,Planned,Planned,Planned,,Planned
GET,/v1/watchdog/status,,Get watchdog enabled status,none,Planned,Planned,Planned,Planned,,Planned
GET,/v1/worlds,,"World slots for the active server, plus which is active",none,Implemented,Implemented,Implemented,Implemented,P11.12: world and backup screens; P12.29: slot profiles and active-world evidence close the native settings scope; P13.4: TUI activity identifies the active world,Implemented
POST,/v1/worlds/activate,activateWorldSlot,Activate a world slot (starts activation asynchronously),worlds,Implemented,Implemented,Implemented,Implemented,P11.12: world and backup screens; P12.29: activation applies the selected profile and preserves server-owned settings; P13.8: TUI confirms stopped-server and safety-backup consequence,Implemented
POST,/v1/worlds/convert,convertWorld,Start a Chunker world-format conversion,worlds,Implemented,Implemented,Implemented,Implemented,"async-only, operation type world-conversion (phase6-api.md SS3); P11.12: world and backup screens; P13.8: TUI conversion action",Implemented
POST,/v1/worlds/create,,Create a new world slot,worlds,Implemented,Implemented,Implemented,Implemented,P11.12: world and backup screens; P12.29: later Worlds-tab creation persists the same shared-form profile boundary; P13.8: TUI create action,Implemented
POST,/v1/worlds/delete,deleteWorldSlot,Delete a non-active world slot,worlds,Implemented,Implemented,Implemented,Implemented,P11.12: world and backup screens; P13.8: TUI confirms destructive target,Implemented
POST,/v1/worlds/duplicate,duplicateWorldSlot,Duplicate a world slot under a fresh id,worlds,Implemented,Implemented,Implemented,Implemented,P11.12: world and backup screens; P12.29: duplicate migration retains the source slot profile; P13.8: TUI duplicate action,Implemented
POST,/v1/worlds/export,exportWorldSlot,Stage a world slot's archive for download,worlds,Implemented,Implemented,Implemented,Implemented,P11.12: world and backup screens; P13.8: TUI staged export to a chosen local ZIP,Implemented
POST,/v1/worlds/import,importWorldSlot,Import a staged world ZIP as a new slot,worlds,Implemented,Implemented,Implemented,Implemented,P11.12: world and backup screens; P12.29: imported profiles remain explicit and unknown values are preserved; P13.8: TUI bounded ZIP staging and import,Implemented
POST,/v1/worlds/rename,,Rename a world slot,worlds,Implemented,Implemented,Implemented,Implemented,"slot metadata rename only, no file I/O -- see phase6-api.md SS1's naming-trap note; P11.12: world and backup screens; P13.8: TUI slot rename,Implemented
POST,/v1/worlds/rename-active-world,renameActiveWorld,Directly rename the active/live world's on-disk folders,worlds,Implemented,Implemented,Planned,Planned,"direct live-world folder rename (renameWorld) -- distinct from POST /v1/worlds/rename, phase6-api.md SS1; P11.12: world and backup screens; P13.8: TUI active-world rename,Implemented
POST,/v1/worlds/replace-active-world,replaceActiveWorld,Directly replace the active/live world's on-disk content (starts asynchronously),worlds,Implemented,Implemented,Planned,Implemented,"P6.34: direct live-world replacement (replaceWorld) -- distinct from POST /v1/worlds/replace (copySlotIntoExisting, a saved-slot-to-saved-slot copy); accepts only a bounded staged upload plus the new level name, never a server-local path; phase6-api.md SS9/SS10; P11.12: world and backup screens; P13.8: TUI confirms replacement safety boundary",Implemented
POST,/v1/worlds/repair,,Repair a Bedrock world's level.dat,worlds,Implemented,Implemented,Implemented,Planned,P12.4: Bedrock Worlds screen drives the journaled level.dat repair operation and handles capability_unavailable; P13.8: TUI repair action,Implemented
POST,/v1/worlds/replace,,Copy a saved slot's content into another existing slot,worlds,Implemented,Implemented,Implemented,Implemented,"corrected post-review: copySlotIntoExisting, not the live world (replaceWorld); copyWorldSlotContent removed as a duplicate; P11.12: world and backup screens; P12.29: copy migration is included in the profile evidence; P13.8: TUI selected destination/source flow",Implemented
GET,/v1/worlds/{slotId}/profile,getWorldSlotProfile,Read one world slot's saved profile and runtime metadata,none,Implemented,Implemented,Implemented,Implemented,P12.27: shared world-settings form reads the slot profile; P12.29: profile persistence and readback are part of the release gate,Planned
