file,lines,bucket,difficulty,confidence
PlayerProfile.swift,176,pure,low,high
PlayerProfileCardView.swift,284,ui,medium,high
PlayerProfileDetailSheet.swift,1041,ui,medium,high
PlayerProfilesCard.swift,223,ui,medium,high
PlayerSessionTimelineView.swift,231,ui,medium,high
PlayerSkinRenderer.swift,142,platform,medium,high
PlayerSkinStore.swift,116,platform,medium,high
PlayitAgentManager.swift,113,io,medium,high
PlayitBinaryManager.swift,162,io,medium,high
PlayitSetupGuideSheet.swift,356,ui,medium,high
PluginDownloader.swift,134,io,medium,high
PluginNameParser.swift,60,pure,low,high
PluginSourceDetector.swift,87,pure,low,high
PrerequisitesView.swift,586,mixed,high,medium
PurpurConfigManager.swift,153,io,medium,high
QuickCommandsView.swift,327,ui,medium,high
QuickStartView.swift,573,ui,medium,high
QuickStartWindowController.swift,58,platform,medium,high
RemoteAPIServer+ComponentRoutes.swift,1161,api,high,high
RemoteAPIServer+HTTP.swift,1320,api,high,high
RemoteAPIServer+Settings.swift,354,api,medium,high
RemoteAPIServer+UserRoutes.swift,84,api,medium,high
RemoteAPIServer+WebSocket.swift,182,api,medium,high
RemoteAPIServer.swift,901,api,high,high
RemoteAPIServerDTOs.swift,1503,api,high,high
RemoteAPIServerSupport.swift,147,api,medium,high
RenameWorldView.swift,195,ui,medium,high
ReplaceWorldView.swift,317,ui,medium,high
ResourcePackHostServer.swift,140,platform,medium,high
ResourcePackManager.swift,626,io,very_high,medium
ResourcePacksView.swift,427,ui,medium,high
RouterPortForwardFallbackDecisionTree.swift,610,pure,low,high
RouterPortForwardGuideCatalogLoader.swift,137,io,medium,high
RouterPortForwardGuideComposer.swift,306,pure,low,high
RouterPortForwardGuideMaintenance.swift,550,pure,low,high
RouterPortForwardGuideMatcher.swift,320,pure,low,high
RouterPortForwardGuidePicker.swift,562,ui,medium,high
RouterPortForwardGuideReader.swift,867,ui,medium,high
RouterPortForwardGuideRepository.swift,92,pure,low,high
RouterPortForwardGuideRuntimeResolver.swift,291,mixed,high,medium
RouterPortForwardGuideSheet.swift,93,ui,medium,high
RouterPortForwardGuideSheetViewModel.swift,212,ui,medium,high
RouterPortForwardGuideTroubleshootingScreen.swift,449,ui,medium,high
RouterPortForwardGuidesFoundation.swift,1433,pure,medium,high
RouterPortForwardTroubleshootingEngine.swift,550,pure,low,high
RunnerScene.swift,686,ui,medium,high
Server.swift,10,pure,low,high
ServerBackend.swift,69,pure,low,high
ServerEditorBackupsTab.swift,140,ui,medium,high
ServerEditorBroadcastTab.swift,305,ui,medium,high
ServerEditorDockerTab.swift,47,ui,medium,high
ServerEditorGeneralTab.swift,218,ui,medium,high
ServerEditorJarsTab.swift,379,ui,medium,high
ServerEditorModels.swift,97,pure,low,high
ServerEditorSettingsTab.swift,68,ui,medium,high
ServerEditorSidebar.swift,249,ui,medium,high
ServerEditorSupportViews.swift,278,ui,medium,high
ServerEditorView.swift,1278,ui,medium,high
ServerEditorWorldTab.swift,785,ui,medium,high
ServerFilesTabView.swift,706,ui,medium,high
ServerHandbookComponents.swift,334,ui,medium,high
ServerHandbookTopics.swift,1830,ui,medium,high
ServerHandbookView.swift,579,ui,medium,high
ServerJarProviders.swift,584,io,medium,high
ServerLifecycleManager.swift,119,mixed,high,medium
ServerNotesSectionView.swift,97,ui,medium,high
ServerProcessManager.swift,414,mixed,very_high,medium
ServerPropertiesManager.swift,47,io,medium,high
ServerSettingsView.swift,788,mixed,high,medium
ServerTransferView.swift,387,ui,medium,high
SessionLogManager.swift,100,io,medium,high
SetupWizardView.swift,1460,mixed,high,medium
SidebarView.swift,833,ui,medium,high
SplashGateView.swift,221,ui,medium,high
StartupCrashAnalyzer.swift,587,pure,medium,high
StartupProblemsSheet.swift,310,ui,medium,high
TemplateItemDisplay.swift,84,pure,low,high
TemplateView.swift,561,ui,medium,high
TpsLineParser.swift,151,pure,low,high
UDPRelay.swift,63,platform,high,high
VMBedrockServerBackend.swift,450,platform,very_high,medium
WatchdogRunner.swift,159,platform,high,high
WorldConversionWizardView.swift,995,ui,high,high
WorldRepairView.swift,254,ui,medium,high
WorldSlotManager.swift,1494,mixed,very_high,medium
WorldSlotsView.swift,488,ui,medium,high
XboxBroadcastDownloader.swift,100,io,medium,high
XboxBroadcastProcessManager.swift,277,io,medium,high
YAMLHelper.swift,54,pure,low,high
