file,bucket,symbol,kind,disposition,target_domain,source_line,notes
AppViewModel+BedrockPerformance.swift,mixed,updateBedrockResourceUsageMetrics / updateBedrockVMMetrics,workflow,agent,metrics,40,"Dispatches between VM in-guest stats (currentStats(), already structured, no parsing needed) and legacy `docker stats` (see parseDockerPercent/parseDockerMemoryMB row) depending on the useVMBedrockBackend config flag. Agent."
AppViewModel+BedrockPerformance.swift,mixed,parseDockerPercent / parseDockerMemoryMB,parser,agent,metrics,161,"FLAG: parses `docker stats --format {{.CPUPerc}}|{{.MemUsage}}` output ('12.34%', '512MiB / 1GiB') into normalized doubles -- real parsing logic, would be Agent if the Docker Bedrock backend were being ported. Per the reconciliation doc's D2 finding, BedrockServerBackend.swift (the Docker backend this parsing serves) is Legacy and should NOT be ported without an explicit compatibility reason. Recorded for coverage completeness; likely dead code from the Rust port's perspective -- flag for the port-order decision, not silently dropped."
AppViewModel+BedrockPerformance.swift,mixed,rollingAverage / bedrockLoad1mAverage / bedrockLoad5mAverage / bedrockLoad15mAverage,policy,agent,metrics,34,"UNIX-style rolling load averages computed from a sampled CPU-percent history -- real metrics computation, matches the load-average style already surfaced for Java/TPS (P0.3). Agent."
AppViewModel+ConfigRecovery.swift,mixed,findCorruptBackups,workflow,agent,config-recovery,19,Lists .corrupt-* backup files sorted newest-first -- directly the R3 corrupt-config recovery discovery step already fixture-covered in P0.15. Agent.
AppViewModel+ConfigRecovery.swift,mixed,serverCountInBackup,parser,agent,config-recovery,36,"Partial/defensive JSON parse (raw JSONSerialization, not a full AppConfig decode) just to count servers without needing a clean decode -- parser, Agent."
AppViewModel+ConfigRecovery.swift,mixed,restoreServersFromBackup,workflow,agent,config-recovery,55,"Decodes a corrupt-backup AppConfig and merges its servers into the live config, deduping by serverDir path or id -- real recovery-merge policy, Agent; directly extends the R3 algorithm already covered in P0.15."
AppViewModel+ConfigRecovery.swift,mixed,rescanAndImportServers,workflow,agent,config-recovery,103,"Walks the configured servers root (+ java/bedrock subdirs), detects server folders not yet in config by presence of a .jar or bedrock_server binary, classifies java-vs-bedrock, imports them -- server-installation-detection, the deletion test's own literal example row. Agent."
AppViewModel+XboxBroadcastDownload.swift,mixed,loadXboxBroadcastJars / setActiveXboxBroadcastJar / deleteXboxBroadcastJarItem / addXboxBroadcastJarFromBrowse,workflow,agent,broadcast,24,"Manages the XboxBroadcast JAR library folder (scan/sort, set-active, delete, copy-in-from-browse) -- component/JAR library management directly backing the broadcast route family (P0.23j). openXboxBroadcastJarFolder (line 90) is pure Finder-reveal, Client, not separately rowed."
AppViewModel+XboxBroadcastDownload.swift,mixed,isXboxBroadcastHelperInstalled,policy,agent,broadcast,98,"Checks whether the configured JAR path exists on disk -- installation-detection, the deletion test's own example. Agent."
AppViewModel+XboxBroadcastDownload.swift,mixed,downloadOrUpdateXboxBroadcastJar / downloadXboxBroadcastJarCore,workflow,agent,broadcast,111,"Downloads the latest MCXboxBroadcastStandalone.jar, stages to a temp file, renames with the release tag, moves into place, updates config, guards against concurrent downloads -- the actual implementation backing POST /broadcast/download-jar (BroadcastJarDownloadResultDTO, P0.23j). Agent."
AppViewModel+WorldRepair.swift,mixed,repairWorldLevelDat,workflow,agent,worlds,19,"Full Bedrock level.dat repair sequence: read level-name, safety backup, point at a throwaway level, start the server and poll for readiness (180s timeout) so BDS regenerates level.dat, stop and wait, copy regenerated level.dat/level.dat_old/levelname.txt into the real world folder, cleanup, restore original level-name on any failure path. Backs POST /worlds/repair (P0.23c). Agent -- unambiguous; logLine callback is UI progress-feedback only, not separately significant."
AppViewModel+ClientExport.swift,mixed,buildClientExportItems / clientSideStatus(from:) / clientSideStatus(fromEnvironment:) / ClientSideStatus.isSelectedByDefault,policy,agent,modpack-client-only,69,"Scans a server's mods/plugins folder, classifies each installed jar's client-side requirement from (a) a persisted Modrinth link's clientSide value, else (b) parsing fabric.mod.json's environment field (ModJarMetadataParser.parse), else 'unknown'/assumed; filters out Geyser/Floodgate managed plugins and (for Paper/Purpur) server-only/unknown items; resolves display names; sorts by classification rank. Directly parallel to the modpack-client-only domain already fixture-covered (P0.17) -- a distinct code path (exporting an already-running server's mods vs. classifying a modpack import) but the same underlying decision. Agent. ClientSideStatus.displayLabel (line 31) is pure UI text, Client, not separately rowed."
AppViewModel+ClientExport.swift,mixed,writeZip (JAR staging + `/usr/bin/zip -j`),workflow,agent,modpack-client-only,168,"Stages selected JARs into a temp dir and shells out to `/usr/bin/zip -j` to build the deliverable client-mods archive -- real file-staging + process-invocation workflow, Agent. The NSSavePanel presentation in exportClientModsAsZip (line 159) that triggers it, and the NSWorkspace Finder-reveal on success, are both Client (file-picker/Finder presentation)."
AppViewModel+ClientExport.swift,mixed,copyClientLinksToClipboard,workflow,client,n/a,208,"Builds a bullet-point text list and writes it to NSPasteboard -- clipboard delivery is a platform-specific client mechanism, Client, similar reasoning to the native-notification file. The per-item modrinthURL formula (ClientExportItem, line 56) is a trivial URL template, not separately significant."
AppViewModel+APIWiring.swift,mixed,wireInfraProviders (watchdogStatus/enableWatchdog/disableWatchdog/connectivity/playitStatus/startPlayit/stopPlayit/duckdnsStatus/updateDuckDNS providers),workflow,agent,watchdog/playit/duckdns,47,"Reference implementation for the watchdog, connectivity, playit, and duckdns routes already catalogued in the API baseline (P0.23i/l/r). Mostly forwarding to existing managers/state; playit start/stop embed real state-machine gating (not_enabled/no_secret_key/already_running/not_running). Agent."
AppViewModel+APIWiring.swift,mixed,ramConfigProvider / updateRAMConfigProvider,policy,agent,config,114,"FLAG -- the actual RAM-allocation clamping policy backing POST /config/ram (P0.23f), more specific than what the OpenAPI baseline captured: Bedrock allows only maxRamGB (0=app default 2GB, clamped to [0, physicalRAMGB]); Java enforces 0.5 <= min <= max <= physicalRAMGB (coerced in that order), then rounds to 1 decimal place. This exact clamping formula needs to survive into the Rust port and isn't written down anywhere else yet."
AppViewModel+APIWiring.swift,mixed,geyserConfigProvider / updateGeyserConfigProvider,workflow,agent,config,182,"Reference implementation for GET/POST /config/geyser (P0.23f) -- checks GeyserConfigManager.isGeyserInstalled before allowing an update (not_installed otherwise), delegates read/write to GeyserConfigManager. Agent."
AppViewModel+ConfigHelpers.swift,mixed,upsertServer / setActiveServer / deleteServer(withId:) / deleteServerFromDisk(withId:),workflow,agent,servers,26,"Config-array CRUD (upsert/set-active/delete) plus disk-folder deletion with a running-server guard -- backs server CRUD and the /servers/delete route (P0.23a). reloadServersFromConfig (line 12) is UI display-list sync, not separately significant."
AppViewModel+ConfigHelpers.swift,mixed,resetApplicationForTesting / validateResetDeletionTarget,policy,agent,n/a,133,"FLAG -- full app-reset workflow (delete Application Support + servers root, clear Keychain secrets, clear UserDefaults/in-memory state) guarded by real safety-validation logic (refuse to delete '/', home dir, /Applications, or anything outside the actual Application Support root / not named 'MinecraftServerController'). This IS the kind of path-safety policy msc2-port-plan.md's Phase 3 substrate (path safety, atomic writes) calls for -- directly relevant prior art, not just an app-testing utility to discard. clearMSCUserDefaultsForFreshInstall/clearInMemoryStateAfterReset are UI-state/prefs cleanup, thin."
AppViewModel+APIWiringWorlds.swift,mixed,"wirePlayerAndWorldProviders (playerProfilesProvider, worldSlotsProvider, activateWorldSlotProvider, createWorldSlotProvider, renameWorldSlotProvider, replaceWorldSlotProvider, repairWorldSlotProvider)",workflow,agent,worlds/players,16,"Reference implementation for GET /players/profiles, GET /worlds, and all 5 POST /worlds/* routes already in the API baseline (P0.23c, P0.23q). Confirms/refines status messages the OpenAPI 409 description didn't fully enumerate: repairWorldSlotProvider also returns not_active_slot (repair target isn't the currently-active slot) and replaceWorldSlotProvider returns same_slot (dest==source) -- worth folding into the OpenAPI baseline's response descriptions on a later pass. All delegate the actual disk work to WorldSlotManager (not in this file). Agent."
AppViewModel+APIWiringBackupsHealth.swift,mixed,wireBackupProviders (backupItemsProvider/createBackupNowProvider/restoreBackupProvider),workflow,agent,backups,16,"Reference implementation for GET/POST /backups* routes (P0.23e). Agent, thin DTO-mapping + delegation to backupItems/createBackupForSelectedServer/restoreBackup (not in this file)."
AppViewModel+APIWiringBackupsHealth.swift,mixed,healthCardTitle / healthCardShort / healthCardIcon / healthActionCode,policy,agent,health,44,"id-to-title/shortLabel/iconSystemName/actionCode presentational maps, explicitly 'ported from HealthCardsGridView so iOS renders identical labels without re-deriving them' (source comment) -- conceptually UI-label text, but part of the documented HealthCardDTO wire response (title/shortLabel/iconSystemName fields) the agent sends today, so per D-006 the wire contract makes this Agent-owned even though its content is presentational. Worth a second look at whether MSC 2's client should own this instead -- a real UI-vs-wire-contract tension -- but preserving current wire behavior means Agent for now."
AppViewModel+APIWiringBackupsHealth.swift,mixed,loadPersistedProblems / mapProblem,parser,agent,health,112,"loadPersistedProblems parses <serverDir>/last_startup_result.json as a disk fallback when in-memory startup-problem results are empty; mapProblem computes availableActions from problem.kind/fields and resolves a Modrinth slug/URL via ModrinthSlugNormalizer.canonicalSlug (already covered, P0.16). Agent."
AppViewModel+APIWiringBackupsHealth.swift,mixed,wireHealthProviders (healthProvider/healthProblemsProvider/repairHealthProblemProvider),workflow,agent,health,139,"Reference implementation for GET /health, GET /health/problems (both orphan routes not yet in any documented API-baseline family -- additional evidence for the P0.23a orphan-routes finding) and POST /health/repair (P0.23h). Dispatches repair actions (update/install/disable/delete) to the same methods the desktop UI's StartupProblemsSheet uses. Agent."
ModpackClientOnlyClassifier.swift,mixed,isManifestServerUnsupported / clientOnlyReason / modrinthProjectId / isModsJar / disableJar,policy,agent,modpack-client-only,58,"Already fully covered by fixtures/modpack-client-only/*.json (P0.17, 18 fixtures) -- no new extraction needed, confirming coverage rather than assuming it."
ModpackClientOnlyClassifier.swift,mixed,knownClientOnlyReason,policy,agent,modpack-client-only,40,"FLAG -- Tier 0 hardcoded shader/renderer blocklist (oculus/mekalus/rubidium/embeddium/iris/optifine/optifabric prefix matching), called BEFORE the Modrinth/jar-manifest tiers per its own doc comment. This function exists in MSC 1 but has NO corresponding P0.17 fixture -- a real coverage gap in the earlier extraction step, discovered here. Should get its own fixtures before/alongside Rust translation of this domain."
ModpackClientOnlyClassifier.swift,mixed,disabledURL(forActiveJar:),policy,agent,modpack-client-only,122,FLAG -- trivial (appends '.disabled' extension) but also has no P0.17 fixture; noted for completeness alongside knownClientOnlyReason.
AppViewModel+APIWiringAddons.swift,mixed,"wireAllowlistAddonVersionProviders (mutateAllowlistProvider, addonsProvider, updateAddonProvider, removeAddonProvider, catalogSearchProvider, installAddonProvider, versionsProvider, createVersionsProvider, changeVersionProvider, javaRuntimesProvider, getJavaConfigProvider, setJavaConfigProvider, broadcastJarStatusProvider, downloadBroadcastJarProvider)",workflow,agent,components/allowlist/broadcast/config,16,"Reference implementation for POST /allowlist (P0.23p), the components/addons/versions family (P0.23d + orphan GET /addons, /catalog/search, /java-runtimes, /versions, /versions/create -- more orphan-route evidence), GET/POST /config/java-runtime (P0.23f), and GET /broadcast/jar-status + POST /broadcast/download-jar (P0.23j). FLAG: changeVersionProvider embeds a real downgrade-guard policy -- before applying a version change it compares the target MC version against the currently pinned one via MCVersionComparator.isDowngrade (already covered, P0.4) and, if it's a downgrade, forces an automatic pre-downgrade backup before proceeding, failing closed (backup_failed) if that backup fails. Not visible from the OpenAPI docs alone."
AppViewModel+APIWiringSettings.swift,mixed,"resourcePacksProvider family (buildResourcePacksResponse, resourcePacksProvider, activateResourcePackProvider, setResourcePackURLProvider, toggleGeyserPackProvider, removeResourcePackProvider)",workflow,agent,resourcepacks,20,"Reference implementation for the resourcepacks family (P0.23k). FLAG: activateResourcePackProvider computes a SHA1 hash of the pack file (ResourcePackManager.sha1Hex) and starts a small local HTTP file-hosting server (resourcePackHostServer) so the Minecraft client can download the pack from http://<host>:<port>/<encoded-filename> -- a genuine mini resource-pack-hosting capability the agent must replicate, not just CRUD."
AppViewModel+APIWiringSettings.swift,mixed,settingsProvider / updateSettingsProvider,workflow,agent,settings,193,"Reference implementation for GET/POST /settings (P0.23b -- not in this batch's scope, but ledgered here regardless since the file is in front of me). Delegates to ServerSettingsSchema.applyJava/applyBedrock (already covered, P0.7) and .javaSections/.bedrockSections. Agent."
AppViewModel+APIWiringSettings.swift,mixed,backupConfigProvider / updateBackupConfigProvider,policy,agent,backups,277,"Backs GET/POST /backups/config (P0.23e). FLAG: embeds validation the OpenAPI docs didn't capture -- autoBackupIntervalMinutes must be one of [15,30,45,60,120,240,360] or it silently falls back to 30 (not rejected); autoBackupMaxCount is clamped to [3,50]. Agent."
AppViewModel+APIWiringSettings.swift,mixed,listUsersProvider / createUserProvider / revokeUserProvider / updateUserProvider,policy,agent,users,327,"Backs the /users family (P0.23g). FLAG: createUserProvider's token-generation algorithm is `UUID().uuidString + UUID().uuidString.replacingOccurrences(of: ""-"", with: """")` (two concatenated UUIDs, second one dash-stripped) -- worth flagging explicitly since token generation is security-sensitive and this exact scheme must be preserved or deliberately upgraded, not silently changed. updateUserProvider's expiresInDays semantics: -1 clears expiry, a positive value computes a future ISO8601 date from today, nil leaves it unchanged. Agent."
AppViewModel+APIWiringContent.swift,mixed,playerSkinProvider,workflow,agent,players,68,"Backs the players family (P0.23q, orphan-adjacent). Multi-source skin resolution (manual lookup override -> Bedrock gamertag avatar via BedrockSkinFetcher -> Java mc-heads.net avatar fetch -> local skin-file), extracts/crops the face, PNG-encodes as base64 for the wire response (PlayerSkinResponseDTO.imageBase64) -- image processing that's part of the documented wire contract, so Agent per the same reasoning as the health-card-labels row, even though cropping/rendering is otherwise a client-flavored concern."
AppViewModel+APIWiringContent.swift,mixed,playerSkinOverrideProvider / hiddenProfileProvider,workflow,agent,players,125,"Thin, backs the players family (P0.23q). Agent."
AppViewModel+APIWiringContent.swift,mixed,filesProvider / fileReadProvider / resolvedServerFileURL,policy,agent,n/a,41,"FLAG -- implements GET /files, GET /files/read (both orphan routes, admin-only per RemoteAPIServer+HTTP.swift, not yet in any documented API-baseline family). resolvedServerFileURL is a real PATH-TRAVERSAL SAFETY CHECK: resolves symlinks and requires the resolved path to stay within the server's root directory, refusing otherwise -- directly the kind of path-safety policy msc2-port-plan.md's Phase 3 substrate calls for (same category as the app-reset validateResetDeletionTarget row above). Plus a previewableFileExtensions allowlist and a 512KB read-size truncation cap. Strong Agent, security-relevant."
AppViewModel+APIWiringContent.swift,mixed,clientExportProvider,workflow,agent,modpack-client-only,277,"Implements GET /components/client-export (orphan route, not in any documented family). Delegates classification to buildClientExportItems (AppViewModel+ClientExport.swift, ledgered above), then builds either a links-text response (Paper-like servers) or a ZIP archive (base64-encoded directly in the JSON response body) via `/usr/bin/zip -j`. Agent."
AppViewModel+APIWiringServerMgmt.swift,mixed,renameServerProvider / deleteServerProvider / createServerProvider / acceptEULAProvider,workflow,agent,servers,19,"Reference implementation for the servers family (P0.23a) -- createServerProvider is substantial: validates/defaults serverType/javaFlavor/difficulty/gamemode, dispatches to createNewServer (Java) or createNewBedrockServer (Bedrock), auto-accepts EULA, writes a max-players override directly to server.properties post-creation, and generates an xbox_broadcast_jar_not_configured warning when relevant. Agent, confirms/extends P0.23a."
AppViewModel+APIWiringServerMgmt.swift,mixed,scanExistingServerInfo,workflow,agent,servers,252,"FLAG -- reuses the exact `ditto` mode-000 ZIP-extraction workaround already fixture-covered in P0.19 ('Use ditto to avoid /usr/bin/unzip's mode-000 quirk on user-uploaded archives', same reasoning verbatim). Good confirming evidence that this workaround is load-bearing in more than one place in MSC 1. Also flattens a single-subdir-only extracted archive (common .zip-of-a-folder shape) before scanning. Agent."
AppViewModel+APIWiringServerMgmt.swift,mixed,templateFlavorForFilename,parser,agent,templates,244,"FLAG -- small jar-filename-prefix parser (purpur-/pufferfish/minecraft_server-/fabric-server-launch -> JavaServerFlavor, default paper) with no corresponding fixture domain yet. Agent."
AppViewModel+APIWiringServerMgmt.swift,mixed,templateIdFor / templateFilenameFromId / buildTemplatesResponse / templatesProvider / templateMutationProvider,workflow,agent,templates,236,Reference implementation for GET/POST /templates (P0.23s). Agent.
AppViewModel+APIWiringServerMgmt.swift,mixed,serverImportScanProvider / serverImportProvider,workflow,agent,servers,449,"Reference implementation for POST /servers/import (P0.23a) -- handles zip/folder/transfer-package import kinds, transfer merge/replaceAll modes (replaceAll requires a pre-replace backup, backup_path_required/backup_failed otherwise), and EULA/port/maxPlayers overrides. Agent, confirms/extends P0.23a."
OverviewChatCardView.swift,mixed,ChatFeedParser.parseEntry / parseLine / strippedPayload / firstField,parser,agent,console,168,"THE reconciliation doc's flagship example (msc2-audit-reconciliation.md D1, lines 37-48) -- a complete console chat parser (chat '<player> message', advancements/challenges/goals, Java 'joined/left the game', Bedrock 'Player connected/disconnected') sitting underneath a SwiftUI card. Confirmed here directly. Agent, unambiguous. The OverviewChatCardView struct itself (body/feed/row/emptyState) is routine SwiftUI presentation, Client, not separately rowed."
JavaInstaller.swift,mixed,minecraftInstallOptions / recommendedOption(forMinecraftVersion:),policy,agent,java-runtime,37,"Curated Java-major <-> Minecraft-version-range compatibility table (mirrors JavaRuntimeManager.requiredJavaMajor, P0.5) plus a 'recommended' flag -- real compatibility knowledge, Agent, even though it's consumed by a picker UI."
JavaInstaller.swift,mixed,installerURL / downloadInstaller / manualDownloadURL,workflow,agent,java-runtime,75,"UNSURE -- see report. Queries the Adoptium API for a Temurin .pkg matching the host architecture (arm64-then-x64 fallback), downloads it to ~/Downloads, and (via JavaInstallerSheet, not ledgered separately) opens it in macOS's Installer.app for the user to click through. The decision logic (which major, which architecture) is clearly Agent; but the actual mechanism -- fetch a macOS .pkg and hand it to the system GUI installer -- is Mac-specific with no obvious equivalent on the headless Linux/Windows agent targets (those would need apt/winget/manual-JDK-extraction instead). Marked Agent here since the capability ('help get a compatible JDK installed') belongs to the agent conceptually, but the concrete mechanism is really a macOS Platform-bucket adapter, not portable Rust logic as written -- needs a human call on how this maps across platforms."
JavaRuntimeManager.swift,mixed,requiredJavaMajor / detectJavaMajor / detectInstalledJavaRuntimes / normalizedJavaExecutablePath / compatibilityWarningText / compatibilityWarning,policy,agent,java-runtime,34,"Already fully covered by fixtures/java-runtime-guards/*.json (P0.5, 15 fixtures) -- no new extraction needed, confirming coverage."
JavaRuntimeManager.swift,mixed,parseMajor(fromVersionOutput:) / runJavaVersion,parser,agent,java-runtime,90,"FLAG -- parses real `java -version` output (e.g. `openjdk version ""21.0.3""` or legacy `java version ""1.8.0_402""`) into a major-version integer. NOT covered by any P0.5 fixture (those exercised detectInstalledJavaRuntimes via a fake non-functional shell-script stub specifically to avoid needing real version-string parsing) and, re-checking JavaRuntimeGuardsTests.swift, NOT tested by MSC 1 itself either -- a genuine untested parser in the source, not just an extraction gap. Real logic (legacy '1.8.x' -> major 8 special case) that needs its own fixtures before Rust translation."
JavaRuntimeManager.swift,mixed,inferJavaMajorVersion / javaRuntimeDisplayName / cleanedJavaRuntimeName / shouldInspectJavaRuntimeCandidate / defaultJavaRuntimeSearchRoots,parser,agent,java-runtime,192,"Supporting helpers for detectInstalledJavaRuntimes (already covered, P0.5) -- regex-based major-version inference from a directory path as a fallback when detectJavaMajor fails, vendor-name cleanup for display, Homebrew/SDKMAN/jEnv search-root heuristics. Not separately fixture-tested by name but exercised transitively through the P0.5 detect-installed-* fixtures. Agent."
AppViewModel+ServerSettings.swift,mixed,applyInitialSetup,workflow,agent,setup,12,"First-run pipeline: creates the servers root + template dirs on disk, resolves/normalizes the Java path via resolvedJavaPath, marks initialSetupDone, persists config, and reloads server list from disk. Real filesystem-establishing workflow the agent must own -- not view presentation."
AppViewModel+ServerSettings.swift,mixed,handleInitialSetupDismissed / stageConceptGuideThenTourIfNeeded / handleConceptGuideDismissed / markConceptGuideShown / showConceptGuideFromPreferences / handleHandbookDismissed / markHandbookShown / showServerHandbookFromPreferences,none,client,n/a,40,"Onboarding tour / Concept Guide / Handbook dismiss-and-chain state machine. Pure window/navigation sequencing (which sheet shows next, with a DispatchQueue delay for animation) -- matches the deletion test's 'window and navigation state -> Client' row exactly. markConceptGuideShown/markHandbookShown do persist a boolean flag via configManager, but it's a one-off 'has seen this' UI flag, not domain state."
AppViewModel+ServerSettings.swift,mixed,refreshEULAState / acceptEULA,none,client,n/a,111,"Both are one-line delegations to EULAManager.readEULA / EULAManager.writeAcceptedEULA plus a local @Published update and a log line -- EULAManager (not in this batch) owns the actual eula.txt read/write logic, so per the forwarding-glue rule these aren't separately rowed here."
AppViewModel+ServerSettings.swift,mixed,loadServerSettings / saveServerSettings,parser,agent,server-settings,132,"Builds a ServerSettingsData view-model by reading server.properties + Geyser config.yml and applying defaults (port 25565, motd, max-players 20, online-mode true) and resolves the effective Bedrock port across two possible sources; save writes back a validated subset of server.properties. Real cross-file property assembly/defaulting, not just UI plumbing."
AppViewModel+ServerSettings.swift,mixed,effectiveBedrockPort / persistBedrockPort,policy,agent,bedrock-geyser,175,"Decides which of three possible sources is authoritative for a server's Bedrock port: explicit ConfigServer.bedrockPort, else (for BDS) the live bedrock_server.properties value via BedrockPropertiesManager, else the Geyser config.yml port. This precedence rule is real domain policy reused by saveServerPropertiesModel, loadGeyserConfig, and the router guide resolver."
